number,page,area,area_ja,ken,place,price_h,age_m,age_w,content
58,ani,a_akihabara,秋葉原,東京都,東京都千代田区秋葉原駅周辺,9500/2000,20/40,20/40,1
59,ani,a20_hamamatsu,静岡/浜松/20代限定,静岡,静岡県浜松市浜松駅周辺,9500/2800,20/29,20/29,1
60,ani,a20_ikebukuro,池袋/20代限定,東京,東京都豊島区池袋駅周辺,9500/2900,20/29,20/29,1
61,ani,a_toyama,富山/アニメコン/昼,富山,富山県,9800/1000,20/40,20/40,1
62,ani,a_ikebukuro,池袋,東京,東京都豊島区池袋駅周辺,9500/2800,20/40,20/40,1
63,ani,a_shizuoka,静岡/アニメコン/昼,静岡,静岡県,9800/1000,20/40,20/40,1
64,ani,a_kouhu,山梨/甲府,山梨,山梨県甲府市甲府駅周辺,9500/2500,20/40,20/40,1
65,ani,a_kashiwa,千葉/柏,千葉,千葉県柏市柏駅周辺,9500/2000,20/40,20/40,1
66,ani,a_hamamatsu,静岡/浜松,静岡,静岡県浜松市浜松駅周辺,9500/2000,20/40,20/40,1
67,machi,20_hamamatsu,静岡/浜松/20代限定,静岡,静岡県浜松市浜松駅周辺,7900/2800,20/29,20/29,2
68,ani,a_shinjuku2000,新宿,東京,東京都新宿区新宿駅,9500/2000,20/40,20/40,1
69,ani,a20_shinjuku2000,新宿/20代限定,東京,東京都新宿区新宿駅,9500/2000,20/29,20/29,7
70,ani,a_hukushima,福島,福島,福島県福島市福島駅周辺,9500/2500,20/40,20/40,1
71,ani,a_kanazawa,石川/金沢,石川,石川県金沢市金沢駅周辺,9500/2000,20/40,20/40,1
72,ani,a_nagoya,愛知/名古屋,愛知,愛知県名古屋市名古屋駅周辺,9500/2000,20/40,20/40,1
74,machi,20_toyama,富山/20代限定,富山,富山県富山市富山駅周辺,7900/2900,20/29,20/29,2
75,ani,a20_akihabara,秋葉原/20代限定,東京,東京都千代田区秋葉原駅周辺,9500/2900,20/29,20/29,1
76,ani,a_sapporo,北海道/札幌,北海道,北海道札幌市札幌駅周辺,6900/3400,20/40,20/40,1
77,machi,20_matsumoto,長野/松本/20代限定,長野,長野県松本市松本駅周辺,7900/2700,20/29,20/29,2
78,machi,20_hukushima,福島,福島,福島県福島市福島駅周辺,7900/2700,20/29,20/29,2
79,machi,20_oyama,栃木/小山/20代限定,栃木,栃木県小山駅周辺,7900/2700,20/29,20/29,2
80,machi,20_sapporo,北海道/札幌/20代限定,北海道,北海道札幌市札幌駅周辺,6500/3600,20/29,20/29,2
